row_index,borrower_id,feature,rank,shap_value,absolute_shap,direction,feature_value
30958,30959,recent_enquiries_12m,7,-0.16566061973571777,0.16566061973571777,decreases_risk,2.0
30958,30959,secured_loans,8,0.10468855500221252,0.10468855500221252,increases_risk,1
30958,30959,personal_loans,9,0.05686011537909508,0.05686011537909508,increases_risk,1
30958,30959,num_times_60p_dpd,10,-0.040393389761447906,0.040393389761447906,decreases_risk,0
40745,40746,recent_enquiries_6m,1,2.8529605865478516,2.8529605865478516,increases_risk,8.0
40745,40746,credit_history_months,2,0.5013899207115173,0.5013899207115173,increases_risk,6.0
40745,40746,delinquency_score,3,-0.4580434262752533,0.4580434262752533,decreases_risk,0
40745,40746,recent_enquiries_12m,4,0.4322621524333954,0.4322621524333954,increases_risk,11.0
40745,40746,active_loans,5,0.2642400562763214,0.2642400562763214,increases_risk,1
40745,40746,secured_loans,6,0.23167596757411957,0.23167596757411957,increases_risk,0
40745,40746,closed_loans,7,0.06091773137450218,0.06091773137450218,increases_risk,0
40745,40746,monthly_income_inr,8,0.05393790081143379,0.05393790081143379,increases_risk,10000
40745,40746,num_times_60p_dpd,9,-0.05388537049293518,0.05388537049293518,decreases_risk,0
40745,40746,age,10,-0.04556719958782196,0.04556719958782196,decreases_risk,24
1874,1875,delinquency_score,1,-0.6790969967842102,0.6790969967842102,decreases_risk,0
1874,1875,recent_enquiries_6m,2,-0.6148241758346558,0.6148241758346558,decreases_risk,nan
1874,1875,credit_history_months,3,0.36657342314720154,0.36657342314720154,increases_risk,11.0
1874,1875,recent_enquiries_12m,4,-0.3261529505252838,0.3261529505252838,decreases_risk,nan
1874,1875,total_enquiries,5,-0.19310258328914642,0.19310258328914642,decreases_risk,nan
1874,1875,active_loans,6,0.09572356194257736,0.09572356194257736,increases_risk,1
1874,1875,num_times_delinquent,7,-0.08753303438425064,0.08753303438425064,decreases_risk,0
1874,1875,num_times_60p_dpd,8,-0.05660485476255417,0.05660485476255417,decreases_risk,0
1874,1875,loan_type_diversity,9,0.027930939570069313,0.027930939570069313,increases_risk,1
1874,1875,closed_loans,10,0.02680555358529091,0.02680555358529091,increases_risk,0
48893,48894,delinquency_score,1,0.8702588081359863,0.8702588081359863,increases_risk,2
48893,48894,active_loans,2,-0.46582379937171936,0.46582379937171936,decreases_risk,7
48893,48894,recent_enquiries_6m,3,0.3232554495334625,0.3232554495334625,increases_risk,2.0
48893,48894,secured_loans,4,-0.31936681270599365,0.31936681270599365,decreases_risk,7
48893,48894,num_times_delinquent,5,0.31468015909194946,0.31468015909194946,increases_risk,1
48893,48894,active_loan_ratio,6,-0.17490336298942566,0.17490336298942566,decreases_risk,0.5833333333333334
48893,48894,recent_enquiries_12m,7,0.16674217581748962,0.16674217581748962,increases_risk,4.0
